# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:ppp'
# Event count (approx.): 7488323981209
#
# Overhead  Command     Shared Object        Symbol                                        
# ........  ..........  ...................  ..............................................
#
     0.00%  translator  perf-32205.map       [.] src_0x1a5c70
     0.00%  translator  perf-32205.map       [.] src_0x266310
     0.00%  translator  perf-32205.map       [.] src_0x27c9f4
     0.00%  translator  perf-32205.map       [.] src_0x2f799c
     0.00%  translator  perf-32205.map       [.] src_0x28f2c4
     0.00%  translator  perf-32205.map       [.] src_0x1a360c
     0.00%  translator  perf-32205.map       [.] src_0x1dc2c4
     0.00%  translator  perf-32205.map       [.] src_0x2f8c60
     0.00%  translator  perf-32205.map       [.] src_0x1dc318
     0.00%  translator  perf-32205.map       [.] src_0x2730e8
     0.00%  translator  perf-32205.map       [.] src_0x5bb04
     0.00%  translator  translator           [.] parse_block.part.2
     0.00%  translator  perf-32205.map       [.] src_0x17cd28
     0.00%  translator  perf-32205.map       [.] src_0x363c3c
     0.00%  translator  perf-32205.map       [.] src_0x2a9c44
     0.00%  translator  perf-32205.map       [.] src_0x2ac07c
     0.00%  translator  perf-32205.map       [.] src_0x522e78
     0.00%  translator  perf-32205.map       [.] src_0x26d384
     0.00%  translator  perf-32205.map       [.] src_0x351350
     0.00%  translator  perf-32205.map       [.] src_0x2abdb8
     0.00%  translator  perf-32205.map       [.] src_0x9b210
     0.00%  translator  perf-32205.map       [.] src_0x50d460
     0.00%  translator  perf-32205.map       [.] src_0xf9738
     0.00%  translator  perf-32205.map       [.] src_0x2bf7a8
     0.00%  translator  perf-32205.map       [.] src_0x10fc48
     0.00%  translator  perf-32205.map       [.] src_0x52f7b4
     0.00%  translator  perf-32205.map       [.] src_0x1e972c
     0.00%  translator  perf-32205.map       [.] src_0x26d370
     0.00%  translator  perf-32205.map       [.] src_0x2bdbe8
     0.00%  translator  [kernel.kallsyms]    [k] tracing_record_taskinfo_skip
     0.00%  translator  perf-32205.map       [.] src_0x318bac
     0.00%  translator  perf-32205.map       [.] src_0x50dab0
     0.00%  translator  perf-32205.map       [.] src_0x2c9150
     0.00%  translator  perf-32205.map       [.] src_0x1e96b8
     0.00%  translator  perf-32205.map       [.] src_0x2b5594
     0.00%  translator  perf-32205.map       [.] src_0x1e96a0
     0.00%  translator  perf-32205.map       [.] src_0x1e9688
     0.00%  translator  perf-32205.map       [.] src_0xea86c
     0.00%  translator  perf-32205.map       [.] src_0x1107f8
     0.00%  translator  perf-32205.map       [.] src_0x143804
     0.00%  translator  perf-32205.map       [.] src_0xa1134
     0.00%  translator  perf-32205.map       [.] src_0x529c88
     0.00%  translator  perf-32205.map       [.] src_0x3905c
     0.00%  translator  perf-32205.map       [.] src_0x1084d0
     0.00%  translator  perf-32205.map       [.] src_0x201738
     0.00%  translator  perf-32205.map       [.] src_0x2bea14
     0.00%  translator  perf-32205.map       [.] src_0x140b60
     0.00%  translator  perf-32205.map       [.] src_0x5279e0
     0.00%  translator  perf-32205.map       [.] src_0x1d6938
     0.00%  translator  perf-32205.map       [.] src_0x13cd14
     0.00%  translator  perf-32205.map       [.] src_0x2f6fe0
     0.00%  translator  perf-32205.map       [.] src_0xecce0
     0.00%  translator  perf-32205.map       [.] src_0x52f7b8
     0.00%  translator  perf-32205.map       [.] src_0x2bf824
     0.00%  translator  perf-32205.map       [.] src_0x1dc35c
     0.00%  translator  perf-32205.map       [.] src_0x35e7c
     0.00%  translator  perf-32205.map       [.] src_0x1e6910
     0.00%  translator  perf-32205.map       [.] src_0x13cbd4
     0.00%  translator  perf-32205.map       [.] src_0x2f725c
     0.00%  translator  perf-32205.map       [.] src_0x135c50
     0.00%  translator  perf-32205.map       [.] src_0x2f7900
     0.00%  translator  perf-32205.map       [.] src_0x143538
     0.00%  translator  perf-32205.map       [.] src_0x144e2c
     0.00%  translator  perf-32205.map       [.] src_0x5c154
     0.00%  translator  perf-32205.map       [.] src_0x143c18
     0.00%  translator  perf-32205.map       [.] src_0x1364dc
     0.00%  translator  perf-32205.map       [.] src_0x29a660
     0.00%  translator  perf-32205.map       [.] src_0x1e69e8
     0.00%  translator  perf-32205.map       [.] src_0x2f7028
     0.00%  translator  perf-32205.map       [.] src_0x1437a4
     0.00%  translator  perf-32205.map       [.] src_0x143e3c
     0.00%  translator  perf-32205.map       [.] src_0x1477fc
     0.00%  translator  perf-32205.map       [.] src_0x266280
     0.00%  translator  perf-32205.map       [.] src_0x137b2c
     0.00%  translator  perf-32205.map       [.] src_0x192434
     0.00%  translator  perf-32205.map       [.] src_0x266d50
     0.00%  translator  perf-32205.map       [.] src_0x1455f0
     0.00%  translator  perf-32205.map       [.] src_0x13d7bc
     0.00%  translator  perf-32205.map       [.] src_0x272f6c
     0.00%  translator  perf-32205.map       [.] src_0x147b74
     0.00%  translator  perf-32205.map       [.] src_0x5c0f8
     0.00%  translator  perf-32205.map       [.] src_0x14790c
     0.00%  translator  perf-32205.map       [.] src_0x1a33fc
     0.00%  translator  perf-32205.map       [.] src_0x1365f4
     0.00%  translator  perf-32205.map       [.] src_0x13d7c0
     0.00%  translator  perf-32205.map       [.] src_0x266ffc
     0.00%  translator  perf-32205.map       [.] src_0x366bac
     0.00%  translator  perf-32205.map       [.] src_0x27c664
     0.00%  translator  [kernel.kallsyms]    [k] ext4_inode_csum.isra.57
     0.00%  translator  perf-32205.map       [.] src_0x14783c
     0.00%  translator  perf-32205.map       [.] src_0x5bf64
     0.00%  translator  perf-32205.map       [.] src_0x265df8
     0.00%  translator  perf-32205.map       [.] src_0x1a5d24
     0.00%  translator  perf-32205.map       [.] src_0x267044
     0.00%  translator  perf-32205.map       [.] src_0x16461c
     0.00%  translator  perf-32205.map       [.] src_0x272f74
     0.00%  translator  [kernel.kallsyms]    [k] jbd2_journal_stop
     0.00%  translator  perf-32205.map       [.] src_0xa0b0c
     0.00%  translator  [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore
     0.00%  translator  perf-32205.map       [.] src_0x364ad0
     0.00%  translator  perf-32205.map       [.] src_0x1e96cc
     0.00%  translator  perf-32205.map       [.] src_0x26aa78
     0.00%  translator  perf-32205.map       [.] src_0x201e60
     0.00%  translator  perf-32205.map       [.] src_0x50db34
     0.00%  translator  perf-32205.map       [.] src_0x3addac
     0.00%  translator  perf-32205.map       [.] src_0xa0b40
     0.00%  translator  perf-32205.map       [.] src_0x3adce4
     0.00%  translator  perf-32205.map       [.] src_0x2c5b08
     0.00%  translator  perf-32205.map       [.] src_0x3ade24
     0.00%  translator  perf-32205.map       [.] src_0x2abd70
     0.00%  translator  perf-32205.map       [.] src_0x2c62fc
     0.00%  translator  perf-32205.map       [.] src_0x2c5ad4
     0.00%  translator  perf-32205.map       [.] src_0x2bf114
     0.00%  translator  perf-32205.map       [.] src_0x18b058
     0.00%  translator  perf-32205.map       [.] src_0xdca30
     0.00%  translator  [kernel.kallsyms]    [k] ext4_da_write_end
     0.00%  translator  perf-32205.map       [.] src_0x2c480c
     0.00%  translator  perf-32205.map       [.] src_0xf9658
     0.00%  translator  perf-32205.map       [.] src_0x2be0d8
     0.00%  translator  perf-32205.map       [.] src_0x11032c
     0.00%  translator  perf-32205.map       [.] src_0x2be058
     0.00%  translator  perf-32205.map       [.] src_0x3de724
     0.00%  translator  perf-32205.map       [.] src_0x2b557c
     0.00%  translator  [kernel.kallsyms]    [k] cpumask_next_and
     0.00%  translator  perf-32205.map       [.] src_0xa0788
     0.00%  translator  perf-32205.map       [.] src_0xeccb8
     0.00%  translator  perf-32205.map       [.] src_0x26cff0
     0.00%  translator  perf-32205.map       [.] src_0x2a9a08
     0.00%  translator  perf-32205.map       [.] src_0x35eb4
     0.00%  translator  perf-32205.map       [.] src_0x2c6a20
     0.00%  translator  perf-32205.map       [.] src_0x2c27a0
     0.00%  translator  perf-32205.map       [.] src_0x9b3c8
     0.00%  translator  perf-32205.map       [.] src_0xed1c8
     0.00%  translator  perf-32205.map       [.] src_0x52a2a4
     0.00%  translator  perf-32205.map       [.] src_0x2c45f4
     0.00%  translator  perf-32205.map       [.] src_0x39044
     0.00%  translator  perf-32205.map       [.] src_0x2c6348
     0.00%  translator  perf-32205.map       [.] src_0x2c632c
     0.00%  translator  perf-32205.map       [.] src_0xdae08
     0.00%  translator  perf-32205.map       [.] src_0xdb5b8
     0.00%  translator  perf-32205.map       [.] src_0x2c68b4
     0.00%  translator  perf-32205.map       [.] src_0xa0750
     0.00%  translator  perf-32205.map       [.] src_0x13d764
     0.00%  translator  perf-32205.map       [.] src_0x2c9198
     0.00%  translator  perf-32205.map       [.] src_0xd32c4
     0.00%  translator  perf-32205.map       [.] src_0x52a9d8
     0.00%  translator  perf-32205.map       [.] src_0x13fe80
     0.00%  translator  perf-32205.map       [.] src_0x50de04
     0.00%  translator  perf-32205.map       [.] src_0x27c998
     0.00%  translator  perf-32205.map       [.] src_0x3dd13c
     0.00%  translator  perf-32205.map       [.] src_0x14226c
     0.00%  translator  perf-32205.map       [.] src_0x3be748
     0.00%  translator  perf-32205.map       [.] src_0x3cd5f8
     0.00%  translator  perf-32205.map       [.] src_0x143bb0
     0.00%  translator  perf-32205.map       [.] src_0x1de4d8
     0.00%  translator  perf-32205.map       [.] src_0x110d78
     0.00%  translator  perf-32205.map       [.] src_0x1dc324
     0.00%  translator  perf-32205.map       [.] src_0x13d4e0
     0.00%  translator  perf-32205.map       [.] src_0x50de80
     0.00%  translator  perf-32205.map       [.] src_0x2f7bec
     0.00%  translator  perf-32205.map       [.] src_0x192430
     0.00%  translator  perf-32205.map       [.] src_0x147c3c
     0.00%  translator  perf-32205.map       [.] src_0x10766c
     0.00%  translator  perf-32205.map       [.] src_0x107668
     0.00%  translator  perf-32205.map       [.] src_0x29b5dc
     0.00%  translator  perf-32205.map       [.] src_0x10756c
     0.00%  translator  perf-32205.map       [.] src_0x52f7ec
     0.00%  translator  perf-32205.map       [.] src_0x29a6e4
     0.00%  translator  perf-32205.map       [.] src_0x144e38
     0.00%  translator  perf-32205.map       [.] src_0x366b90
     0.00%  translator  perf-32205.map       [.] src_0x143ff8
     0.00%  translator  perf-32205.map       [.] src_0x3b6c64
     0.00%  translator  perf-32205.map       [.] src_0x13cd04
     0.00%  translator  perf-32205.map       [.] src_0x1d7784
     0.00%  translator  perf-32205.map       [.] src_0x265e48
     0.00%  translator  perf-32205.map       [.] src_0x3cc290
     0.00%  translator  perf-32205.map       [.] src_0x107624
     0.00%  translator  perf-32205.map       [.] src_0xd3528
     0.00%  translator  perf-32205.map       [.] src_0x107648
     0.00%  translator  perf-32205.map       [.] src_0x3be374
     0.00%  translator  perf-32205.map       [.] src_0x272f90
     0.00%  translator  perf-32205.map       [.] src_0x144740
     0.00%  translator  perf-32205.map       [.] src_0x2f7880
     0.00%  translator  perf-32205.map       [.] src_0x27310c
     0.00%  translator  perf-32205.map       [.] src_0x28f25c
     0.00%  translator  perf-32205.map       [.] src_0x1a5b10
     0.00%  translator  perf-32205.map       [.] src_0x185268
     0.00%  translator  perf-32205.map       [.] src_0x13d79c
     0.00%  translator  perf-32205.map       [.] src_0x29b5f8
     0.00%  translator  perf-32205.map       [.] src_0x2f6a20
     0.00%  translator  perf-32205.map       [.] src_0x19243c
     0.00%  translator  perf-32205.map       [.] src_0x29a6a0
     0.00%  translator  perf-32205.map       [.] src_0x2f6c18
     0.00%  translator  perf-32205.map       [.] src_0x192448
     0.00%  translator  perf-32205.map       [.] src_0x2731a0
     0.00%  translator  perf-32205.map       [.] src_0x1434c8
     0.00%  translator  perf-32205.map       [.] src_0x266234
     0.00%  translator  perf-32205.map       [.] src_0x13dc4c
     0.00%  translator  perf-32205.map       [.] src_0x14b3b4
     0.00%  translator  perf-32205.map       [.] src_0x1a343c
     0.00%  translator  perf-32205.map       [.] src_0x1c34a0
     0.00%  translator  perf-32205.map       [.] src_0x3be3fc
     0.00%  translator  perf-32205.map       [.] src_0x13d5d8
     0.00%  translator  perf-32205.map       [.] src_0x28f3a8
     0.00%  translator  perf-32205.map       [.] src_0x10fba8
     0.00%  translator  [kernel.kallsyms]    [k] ext4_mark_iloc_dirty
     0.00%  translator  perf-32205.map       [.] src_0x13d4d8
     0.00%  translator  [kernel.kallsyms]    [k] timerqueue_add
     0.00%  translator  perf-32205.map       [.] src_0x17d0d0
     0.00%  translator  perf-32205.map       [.] src_0x202914
     0.00%  translator  perf-32205.map       [.] src_0x52f3c4
     0.00%  translator  perf-32205.map       [.] src_0x51bddc
     0.00%  translator  perf-32205.map       [.] src_0x2a9c84
     0.00%  translator  perf-32205.map       [.] src_0x51bdfc
     0.00%  translator  perf-32205.map       [.] src_0x208198
     0.00%  translator  perf-32205.map       [.] src_0x3de4bc
     0.00%  translator  perf-32205.map       [.] src_0xf72f0
     0.00%  translator  [tg3]                [k] tg3_periodic_fetch_stats
     0.00%  translator  perf-32205.map       [.] src_0x2bea10
     0.00%  translator  perf-32205.map       [.] src_0x2b3da4
     0.00%  translator  [kernel.kallsyms]    [k] ctx_sched_out
     0.00%  translator  perf-32205.map       [.] src_0x2bd78c
     0.00%  translator  [kernel.kallsyms]    [k] put_prev_entity
     0.00%  translator  perf-32205.map       [.] src_0xf72a4
     0.00%  translator  perf-32205.map       [.] src_0x2a1970
     0.00%  translator  perf-32205.map       [.] src_0x3add68
     0.00%  translator  perf-32205.map       [.] src_0x3de6f8
     0.00%  translator  perf-32205.map       [.] src_0x2a1920
     0.00%  translator  perf-32205.map       [.] src_0x2de4d0
     0.00%  translator  perf-32205.map       [.] src_0x11027c
     0.00%  translator  perf-32205.map       [.] src_0x513c38
     0.00%  translator  perf-32205.map       [.] src_0x527894
     0.00%  translator  perf-32205.map       [.] src_0xdb6d0
     0.00%  translator  perf-32205.map       [.] src_0x51be40
     0.00%  translator  [kernel.kallsyms]    [k] check_preempt_wakeup
     0.00%  translator  perf-32205.map       [.] src_0x2be9a4
     0.00%  translator  perf-32205.map       [.] src_0xdb24c
     0.00%  translator  perf-32205.map       [.] src_0x2c66d4
     0.00%  translator  perf-32205.map       [.] src_0x50dc20
     0.00%  translator  perf-32205.map       [.] src_0xe2e00
     0.00%  translator  perf-32205.map       [.] src_0xe95d0
     0.00%  translator  perf-32205.map       [.] src_0x108364
     0.00%  translator  perf-32205.map       [.] src_0x1e9564
     0.00%  translator  perf-32205.map       [.] src_0x3b6b78
     0.00%  translator  [kernel.kallsyms]    [k] __alloc_pages_nodemask
     0.00%  translator  perf-32205.map       [.] src_0xdcb34
     0.00%  translator  perf-32205.map       [.] src_0x2082b4
     0.00%  translator  perf-32205.map       [.] src_0x9bd3c
     0.00%  translator  perf-32205.map       [.] src_0xea6f0
     0.00%  translator  perf-32205.map       [.] src_0x108324
     0.00%  translator  perf-32205.map       [.] src_0x3621c
     0.00%  translator  perf-32205.map       [.] src_0x29b62c
     0.00%  translator  perf-32205.map       [.] src_0x529c58
     0.00%  translator  perf-32205.map       [.] src_0x2c4960
     0.00%  translator  perf-32205.map       [.] src_0x2c63b0
     0.00%  translator  perf-32205.map       [.] src_0x143e34
     0.00%  translator  perf-32205.map       [.] src_0x50e0c4
     0.00%  translator  perf-32205.map       [.] src_0x266244
     0.00%  translator  perf-32205.map       [.] src_0x5bfa4
     0.00%  translator  perf-32205.map       [.] src_0xe2098
     0.00%  translator  perf-32205.map       [.] src_0x13ccd4
     0.00%  translator  perf-32205.map       [.] src_0x143ad4
     0.00%  translator  perf-32205.map       [.] src_0x14483c
     0.00%  translator  perf-32205.map       [.] src_0x273260
     0.00%  translator  perf-32205.map       [.] src_0x5bedc
     0.00%  translator  perf-32205.map       [.] src_0x140b9c
     0.00%  translator  perf-32205.map       [.] src_0x3be3bc
     0.00%  translator  perf-32205.map       [.] src_0x107430
     0.00%  translator  perf-32205.map       [.] src_0x272880
     0.00%  translator  perf-32205.map       [.] src_0x2f818
     0.00%  translator  perf-32205.map       [.] src_0x137d24
     0.00%  translator  perf-32205.map       [.] src_0x295904
     0.00%  translator  perf-32205.map       [.] src_0x1dc868
     0.00%  translator  perf-32205.map       [.] src_0x3b6ee0
     0.00%  translator  perf-32205.map       [.] src_0x13d754
     0.00%  translator  perf-32205.map       [.] src_0x1364a8
     0.00%  translator  perf-32205.map       [.] src_0x27ca34
     0.00%  translator  perf-32205.map       [.] src_0x299e74
     0.00%  translator  perf-32205.map       [.] src_0x52f828
     0.00%  translator  perf-32205.map       [.] src_0x27ec20
     0.00%  translator  perf-32205.map       [.] src_0x266d90
     0.00%  translator  perf-32205.map       [.] src_0x1a63f0
     0.00%  translator  perf-32205.map       [.] src_0x1075d0
     0.00%  translator  perf-32205.map       [.] src_0x29b5d4
     0.00%  translator  perf-32205.map       [.] src_0x140b70
     0.00%  translator  perf-32205.map       [.] src_0x2f7f0
     0.00%  translator  perf-32205.map       [.] src_0x137e5c
     0.00%  translator  perf-32205.map       [.] src_0x27c6c4
     0.00%  translator  perf-32205.map       [.] src_0x147990
     0.00%  translator  perf-32205.map       [.] src_0x1447a0
     0.00%  translator  perf-32205.map       [.] src_0x1e6940
     0.00%  translator  perf-32205.map       [.] src_0x2f7c3c
     0.00%  translator  perf-32205.map       [.] src_0x1c3330
     0.00%  translator  perf-32205.map       [.] src_0x2f6ba0
     0.00%  translator  perf-32205.map       [.] src_0x30868
     0.00%  translator  perf-32205.map       [.] src_0x266298
     0.00%  translator  perf-32205.map       [.] src_0x10fb80
     0.00%  translator  perf-32205.map       [.] src_0x13d774
     0.00%  translator  perf-32205.map       [.] src_0x135cc0
     0.00%  translator  perf-32205.map       [.] src_0x144e34
     0.00%  translator  perf-32205.map       [.] src_0x1a5c98
     0.00%  translator  perf-32205.map       [.] src_0x1a5c2c
     0.00%  translator  perf-32205.map       [.] src_0x1a5c48
     0.00%  translator  perf-32205.map       [.] src_0x3cc24c
     0.00%  translator  perf-32205.map       [.] src_0x1d6504
     0.00%  translator  perf-32205.map       [.] src_0x1a33f0
     0.00%  translator  perf-32205.map       [.] src_0x52f5ec
     0.00%  translator  perf-32205.map       [.] src_0x5c16c
     0.00%  translator  perf-32205.map       [.] src_0x1a5c74
     0.00%  translator  perf-32205.map       [.] src_0x143714
     0.00%  translator  [kernel.kallsyms]    [k] task_tick_fair
     0.00%  translator  translator           [.] translate_block
     0.00%  translator  perf-32205.map       [.] src_0x202928
     0.00%  translator  perf-32205.map       [.] src_0xed208
     0.00%  translator  [kernel.kallsyms]    [k] kmem_cache_free
     0.00%  translator  perf-32205.map       [.] src_0xdc9a4
     0.00%  translator  perf-32205.map       [.] src_0x3add80
     0.00%  translator  perf-32205.map       [.] src_0x51bd8c
     0.00%  translator  perf-32205.map       [.] src_0x31aa98
     0.00%  translator  [kernel.kallsyms]    [k] perf_iterate_ctx
     0.00%  translator  perf-32205.map       [.] src_0x522e90
     0.00%  translator  perf-32205.map       [.] src_0xf4550
     0.00%  translator  perf-32205.map       [.] src_0x51bdb8
     0.00%  translator  [kernel.kallsyms]    [k] __netif_schedule
     0.00%  translator  perf-32205.map       [.] src_0xa0af8
     0.00%  translator  perf-32205.map       [.] src_0x3ae240
     0.00%  translator  perf-32205.map       [.] src_0x110dcc
     0.00%  translator  perf-32205.map       [.] src_0x50e90c
     0.00%  translator  perf-32205.map       [.] src_0x3cbe24
     0.00%  translator  perf-32205.map       [.] src_0x3ae9a4
     0.00%  translator  perf-32205.map       [.] src_0xa03dc
     0.00%  translator  perf-32205.map       [.] src_0x50d608
     0.00%  translator  perf-32205.map       [.] src_0xeaa24
     0.00%  translator  perf-32205.map       [.] src_0x189c20
     0.00%  translator  perf-32205.map       [.] src_0x2c90b4
     0.00%  translator  perf-32205.map       [.] src_0x39d1bc
     0.00%  translator  perf-32205.map       [.] src_0x2bf278
     0.00%  translator  perf-32205.map       [.] src_0xdadf0
     0.00%  translator  perf-32205.map       [.] src_0x522e64
     0.00%  translator  perf-32205.map       [.] src_0x3ae5a4
     0.00%  translator  perf-32205.map       [.] src_0x2bf6e0
     0.00%  translator  perf-32205.map       [.] src_0x50ecd4
     0.00%  translator  perf-32205.map       [.] src_0x50ee94
     0.00%  translator  perf-32205.map       [.] src_0x2be034
     0.00%  translator  perf-32205.map       [.] src_0xeac64
     0.00%  translator  perf-32205.map       [.] src_0x51bd6c
     0.00%  translator  perf-32205.map       [.] src_0x2c6a94
     0.00%  translator  perf-32205.map       [.] src_0x50ee80
     0.00%  translator  perf-32205.map       [.] src_0x2c6714
     0.00%  translator  perf-32205.map       [.] src_0x49df28
     0.00%  translator  perf-32205.map       [.] src_0xa10bc
     0.00%  translator  perf-32205.map       [.] src_0xdae20
     0.00%  translator  perf-32205.map       [.] src_0x50dde0
     0.00%  translator  perf-32205.map       [.] src_0xa111c
     0.00%  translator  perf-32205.map       [.] src_0x3add34
     0.00%  translator  perf-32205.map       [.] src_0xe2000
     0.00%  translator  perf-32205.map       [.] src_0x517c48
     0.00%  translator  perf-32205.map       [.] src_0x4f0970
     0.00%  translator  perf-32205.map       [.] src_0xdb258
     0.00%  translator  perf-32205.map       [.] src_0x4f07e8
     0.00%  translator  perf-32205.map       [.] src_0xed0c4
     0.00%  translator  perf-32205.map       [.] src_0xea864
     0.00%  translator  perf-32205.map       [.] src_0xa0ba8
     0.00%  translator  perf-32205.map       [.] src_0x2c6310
     0.00%  translator  perf-32205.map       [.] src_0x52df34
     0.00%  translator  perf-32205.map       [.] src_0xdb20c
     0.00%  translator  perf-32205.map       [.] src_0x143500
     0.00%  translator  perf-32205.map       [.] src_0x2be100
     0.00%  translator  perf-32205.map       [.] src_0xdb0fc
     0.00%  translator  perf-32205.map       [.] src_0x366a74
     0.00%  translator  perf-32205.map       [.] src_0x5137f4
     0.00%  translator  perf-32205.map       [.] src_0xdcb40
     0.00%  translator  perf-32205.map       [.] src_0x529ca0
     0.00%  translator  perf-32205.map       [.] src_0xd3374
     0.00%  translator  perf-32205.map       [.] src_0x50ecc8
     0.00%  translator  perf-32205.map       [.] src_0x1a363c
     0.00%  translator  perf-32205.map       [.] src_0x14474c
     0.00%  translator  perf-32205.map       [.] src_0x3c07b4
     0.00%  translator  perf-32205.map       [.] src_0x137cf8
     0.00%  translator  perf-32205.map       [.] src_0x110900
     0.00%  translator  perf-32205.map       [.] src_0x27c73c
     0.00%  translator  perf-32205.map       [.] src_0x265e98
     0.00%  translator  perf-32205.map       [.] src_0x50df3c
     0.00%  translator  perf-32205.map       [.] src_0x192320
     0.00%  translator  perf-32205.map       [.] src_0x29b5c0
     0.00%  translator  perf-32205.map       [.] src_0x265e30
     0.00%  translator  perf-32205.map       [.] src_0x1dc37c
     0.00%  translator  perf-32205.map       [.] src_0x110d38
     0.00%  translator  perf-32205.map       [.] src_0x3be33c
     0.00%  translator  perf-32205.map       [.] src_0x1337d8
     0.00%  translator  perf-32205.map       [.] src_0x14b32c
     0.00%  translator  perf-32205.map       [.] src_0x10852c
     0.00%  translator  perf-32205.map       [.] src_0x3be3c0
     0.00%  translator  perf-32205.map       [.] src_0x107474
     0.00%  translator  perf-32205.map       [.] src_0x13cccc
     0.00%  translator  perf-32205.map       [.] src_0x30844
     0.00%  translator  perf-32205.map       [.] src_0xd3344
     0.00%  translator  perf-32205.map       [.] src_0x143e74
     0.00%  translator  perf-32205.map       [.] src_0x147b60
     0.00%  translator  perf-32205.map       [.] src_0x13fe34
     0.00%  translator  perf-32205.map       [.] src_0x10830c
     0.00%  translator  perf-32205.map       [.] src_0x13ff68
     0.00%  translator  perf-32205.map       [.] src_0xd3340
     0.00%  translator  perf-32205.map       [.] src_0x266270
     0.00%  translator  perf-32205.map       [.] src_0x1d7810
     0.00%  translator  perf-32205.map       [.] src_0x143b08
     0.00%  translator  perf-32205.map       [.] src_0x1a6258
     0.00%  translator  perf-32205.map       [.] src_0x27c5f4
     0.00%  translator  perf-32205.map       [.] src_0x14b3ac
     0.00%  translator  perf-32205.map       [.] src_0x192454
     0.00%  translator  perf-32205.map       [.] src_0x2670f8
     0.00%  translator  perf-32205.map       [.] src_0x5c230
     0.00%  translator  perf-32205.map       [.] src_0x10fc14
     0.00%  translator  perf-32205.map       [.] src_0x299e9c
     0.00%  translator  perf-32205.map       [.] src_0x14044c
     0.00%  translator  perf-32205.map       [.] src_0x299e84
     0.00%  translator  perf-32205.map       [.] src_0x299e78
     0.00%  translator  perf-32205.map       [.] src_0x29a6fc
     0.00%  translator  perf-32205.map       [.] src_0x185284
     0.00%  translator  perf-32205.map       [.] src_0x185214
     0.00%  translator  perf-32205.map       [.] src_0x368340
     0.00%  translator  [kernel.kallsyms]    [k] sys_write
     0.00%  translator  perf-32205.map       [.] src_0x108140
     0.00%  translator  perf-32205.map       [.] src_0x17cbcc
     0.00%  translator  [kernel.kallsyms]    [k] native_iret
     0.00%  translator  [kernel.kallsyms]    [k] free_pcppages_bulk
     0.00%  translator  perf-32205.map       [.] src_0x17d148
     0.00%  translator  perf-32205.map       [.] src_0xa0b3c
     0.00%  translator  perf-32205.map       [.] src_0xa0b04
     0.00%  translator  perf-32205.map       [.] src_0x3c97c4
     0.00%  translator  perf-32205.map       [.] src_0x350ac4
     0.00%  translator  perf-32205.map       [.] src_0x11033c
     0.00%  translator  perf-32205.map       [.] src_0xdb5a4
     0.00%  translator  perf-32205.map       [.] src_0x3d36b0
     0.00%  translator  perf-32205.map       [.] src_0xf9668
     0.00%  translator  perf-32205.map       [.] src_0xdb5c4
     0.00%  translator  perf-32205.map       [.] src_0x3add70
     0.00%  translator  perf-32205.map       [.] src_0x364ce8
     0.00%  translator  perf-32205.map       [.] src_0x118c90
     0.00%  translator  perf-32205.map       [.] src_0x9be38
     0.00%  translator  [kernel.kallsyms]    [k] cpuacct_account_field
     0.00%  translator  perf-32205.map       [.] src_0x3ae22c
     0.00%  translator  perf-32205.map       [.] src_0x50dd0c
     0.00%  translator  perf-32205.map       [.] src_0xf97e4
     0.00%  translator  perf-32205.map       [.] src_0xea844
     0.00%  translator  perf-32205.map       [.] src_0xeced0
     0.00%  translator  perf-32205.map       [.] src_0x1ed344
     0.00%  translator  perf-32205.map       [.] src_0x522e6c
     0.00%  translator  [kernel.kallsyms]    [k] __bitmap_and
     0.00%  translator  perf-32205.map       [.] src_0x50f170
     0.00%  translator  perf-32205.map       [.] src_0x3d377c
     0.00%  translator  perf-32205.map       [.] src_0xece88
     0.00%  translator  perf-32205.map       [.] src_0x2c7cb0
     0.00%  translator  perf-32205.map       [.] src_0x39f0c
     0.00%  translator  perf-32205.map       [.] src_0xdb1c4
     0.00%  translator  perf-32205.map       [.] src_0xdb70c
     0.00%  translator  perf-32205.map       [.] src_0x2c4940
     0.00%  translator  perf-32205.map       [.] src_0x3ae8f8
     0.00%  translator  perf-32205.map       [.] src_0x35c300
     0.00%  translator  perf-32205.map       [.] src_0xed148
     0.00%  translator  perf-32205.map       [.] src_0x4f06d8
     0.00%  translator  perf-32205.map       [.] src_0x2ac074
     0.00%  translator  [kernel.kallsyms]    [k] rb_insert_color_cached
     0.00%  translator  perf-32205.map       [.] src_0xecd24
     0.00%  translator  perf-32205.map       [.] src_0x39f04
     0.00%  translator  perf-32205.map       [.] src_0x2c19d4
     0.00%  translator  perf-32205.map       [.] src_0x2bdff8
     0.00%  translator  perf-32205.map       [.] src_0xdad94
     0.00%  translator  perf-32205.map       [.] src_0x2bf7a0
     0.00%  translator  perf-32205.map       [.] src_0x2c60c0
     0.00%  translator  perf-32205.map       [.] src_0x2c6364
     0.00%  translator  perf-32205.map       [.] src_0x52a8f4
     0.00%  translator  perf-32205.map       [.] src_0x2be968
     0.00%  translator  perf-32205.map       [.] src_0x4f0cd4
     0.00%  translator  perf-32205.map       [.] src_0x2be0f0
     0.00%  translator  perf-32205.map       [.] src_0x1ed478
     0.00%  translator  perf-32205.map       [.] src_0xe94dc
