# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7M of event 'cycles:ppp'
# Event count (approx.): 12004087673020
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.00%  translator  [kernel.kallsyms]  [k] insert_work
     0.00%  translator  [kernel.kallsyms]  [k] put_prev_entity
     0.00%  translator  [kernel.kallsyms]  [k] account_entity_enqueue
     0.00%  translator  [kernel.kallsyms]  [k] _raw_spin_trylock
     0.00%  translator  [kernel.kallsyms]  [k] native_read_msr
     0.00%  translator  [kernel.kallsyms]  [k] group_balance_cpu
     0.00%  translator  [kernel.kallsyms]  [k] __slab_free
     0.00%  translator  [kernel.kallsyms]  [k] tsc_cs_tick_stable
     0.00%  translator  [kernel.kallsyms]  [k] __x86_indirect_thunk_r14
     0.00%  translator  [kernel.kallsyms]  [k] tracing_record_taskinfo_skip
     0.00%  translator  [kernel.kallsyms]  [k] update_rq_clock
     0.00%  translator  [kernel.kallsyms]  [k] apic_ack_irq
     0.00%  translator  [kernel.kallsyms]  [k] cmpxchg_double_slab.isra.33
     0.00%  translator  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.00%  translator  [kernel.kallsyms]  [k] run_local_timers
     0.00%  translator  [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  translator  translator         [.] parse_block
     0.00%  translator  [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.00%  translator  [kernel.kallsyms]  [k] ext4_mark_iloc_dirty
     0.00%  translator  [kernel.kallsyms]  [k] node_tag_clear
     0.00%  translator  [kernel.kallsyms]  [k] __remove_mapping
     0.00%  translator  [kernel.kallsyms]  [k] __isolate_lru_page
     0.00%  translator  [kernel.kallsyms]  [k] uncharge_batch
     0.00%  translator  [kernel.kallsyms]  [k] wake_all_kswapds
     0.00%  translator  [kernel.kallsyms]  [k] __ext4_get_inode_loc
     0.00%  translator  [kernel.kallsyms]  [k] __ext4_journal_start_sb
     0.00%  translator  translator         [.] reg_to_string
     0.00%  translator  translator         [.] dispatch_instr
     0.00%  translator  [kernel.kallsyms]  [k] queue_work_on
     0.00%  translator  [kernel.kallsyms]  [k] mod_timer
     0.00%  translator  [kernel.kallsyms]  [k] sched_clock_cpu
     0.00%  translator  [kernel.kallsyms]  [k] security_vm_enough_memory_mm
     0.00%  translator  [kernel.kallsyms]  [k] __nla_put
     0.00%  translator  [kernel.kallsyms]  [k] get_nohz_timer_target
     0.00%  translator  [usb_storage]      [k] usb_stor_blocking_completion
     0.00%  translator  [kernel.kallsyms]  [k] __mnt_is_readonly.part.13
     0.00%  translator  [kernel.kallsyms]  [k] wake_up_nohz_cpu
     0.00%  translator  [kernel.kallsyms]  [k] perf_ctx_unlock
     0.00%  translator  [kernel.kallsyms]  [k] update_min_vruntime
     0.00%  translator  [kernel.kallsyms]  [k] sg_complete
     0.00%  translator  [kernel.kallsyms]  [k] neigh_fill_info
     0.00%  translator  [kernel.kallsyms]  [k] kthread_data
     0.00%  translator  [kernel.kallsyms]  [k] ima_file_mmap
     0.00%  translator  [kernel.kallsyms]  [k] usb_unanchor_urb
     0.00%  translator  [kernel.kallsyms]  [k] rb_erase
     0.00%  translator  [kernel.kallsyms]  [k] update_process_times
     0.00%  translator  [kernel.kallsyms]  [k] __remove_hrtimer
     0.00%  translator  [kernel.kallsyms]  [k] plist_del
     0.00%  translator  [kernel.kallsyms]  [k] add_timer_on
     0.00%  translator  [kernel.kallsyms]  [k] sch_direct_xmit
     0.00%  translator  [nf_defrag_ipv4]   [k] ipv4_conntrack_defrag
     0.00%  translator  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.00%  translator  [kernel.kallsyms]  [k] rcu_accelerate_cbs
     0.00%  translator  [kernel.kallsyms]  [k] irq_chip_ack_parent
     0.00%  translator  [kernel.kallsyms]  [k] __note_gp_changes
     0.00%  translator  [kernel.kallsyms]  [k] common_interrupt
     0.00%  translator  [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.00%  translator  [kernel.kallsyms]  [k] eth_header
     0.00%  translator  [kernel.kallsyms]  [k] tcp_ack
     0.00%  translator  [kernel.kallsyms]  [k] netlink_broadcast_filtered
     0.00%  translator  [kernel.kallsyms]  [k] hrtick_update
